company,ats_type,career_url,workday_api_url,job_url_base,target_location,keywords,job_title_keywords,excluded_keywords,is_active
Aetna,workday,https://cvshealth.wd1.myworkdayjobs.com/CVS_Health_Careers,https://cvshealth.wd1.myworkdayjobs.com/wday/cxs/cvshealth/CVS_Health_Careers/jobs,,Raleigh NC;Remote;North Carolina,accounting;tax;audit;analyst;associate,associate;staff;entry level;tax associate;audit associate;accounting associate;analyst,senior;manager;director;principal;partner;intern;internship;campus;student,TRUE
Amgen,workday,https://amgen.wd1.myworkdayjobs.com/Careers,https://amgen.wd1.myworkdayjobs.com/wday/cxs/amgen/Careers/jobs,,Raleigh NC;Remote;North Carolina,accounting;tax;audit;analyst;associate,associate;staff;entry level;tax associate;audit associate;accounting associate;analyst,senior;manager;director;principal;partner;intern;internship;campus;student,TRUE
Duke Energy,workday,https://dukeenergy.wd1.myworkdayjobs.com/search,https://dukeenergy.wd1.myworkdayjobs.com/wday/cxs/dukeenergy/search/jobs,,Raleigh NC;Remote;North Carolina,accounting;tax;audit;analyst;associate,associate;staff;entry level;tax associate;audit associate;accounting associate;analyst,senior;manager;director;principal;partner;intern;internship;campus;student,TRUE
Pfizer,workday,https://pfizer.wd1.myworkdayjobs.com/PfizerCareers,https://pfizer.wd1.myworkdayjobs.com/wday/cxs/pfizer/PfizerCareers/jobs,,Raleigh NC;Remote;North Carolina,accounting;tax;audit;analyst;associate,associate;staff;entry level;tax associate;audit associate;accounting associate;analyst,senior;manager;director;principal;partner;intern;internship;campus;student,TRUE
Piedmont Natural Gas,workday,https://dukeenergy.wd1.myworkdayjobs.com/search,https://dukeenergy.wd1.myworkdayjobs.com/wday/cxs/dukeenergy/search/jobs,,Raleigh NC;Remote;North Carolina,accounting;tax;audit;analyst;associate,associate;staff;entry level;tax associate;audit associate;accounting associate;analyst,senior;manager;director;principal;partner;intern;internship;campus;student,TRUE
PwC (PricewaterhouseCoopers),workday,https://pwc.wd3.myworkdayjobs.com/Global_Experienced_Careers,https://pwc.wd3.myworkdayjobs.com/wday/cxs/pwc/Global_Experienced_Careers/jobs,,Raleigh NC;Remote;North Carolina,accounting;tax;audit;analyst;associate,associate;staff;entry level;tax associate;audit associate;accounting associate;analyst,senior;manager;director;principal;partner;intern;internship;campus;student,TRUE
Smithfield Foods,workday,https://smithfieldfoods.wd1.myworkdayjobs.com/Careers,https://smithfieldfoods.wd1.myworkdayjobs.com/wday/cxs/smithfieldfoods/Careers/jobs,,Raleigh NC;Remote;North Carolina,accounting;tax;audit;analyst;associate,associate;staff;entry level;tax associate;audit associate;accounting associate;analyst,senior;manager;director;principal;partner;intern;internship;campus;student,TRUE
