company_name,ats_type,career_url,target_locations,keywords,job_title_keywords,excluded_keywords,active
Forvis Mazars,workday,https://www.forvismazars.us/careers,"Raleigh NC;Remote;North Carolina","accounting;tax;audit;analyst;associate","associate;staff;entry level;tax associate;audit associate;accounting associate;analyst","senior;manager;director;principal;partner;intern;internship;campus;student",TRUE
CLA,workday,https://www.claconnect.com/en/careers,"Raleigh NC;Remote;North Carolina","accounting;tax;audit;analyst;associate","associate;staff;entry level;tax associate;audit associate;accounting associate;analyst","senior;manager;director;principal;partner;intern;internship;campus;student",TRUE
RSM,workday,https://rsmus.com/careers.html,"Raleigh NC;Remote;North Carolina","accounting;tax;audit;analyst;associate","associate;staff;entry level;tax associate;audit associate;accounting associate;analyst","senior;manager;director;principal;partner;intern;internship;campus;student",TRUE
Johnson Lambert,unknown,https://www.johnsonlambert.com/careers/,"Raleigh NC;Remote;North Carolina","accounting;audit;associate;analyst","associate;staff;entry level;audit associate;accounting associate;analyst","senior;manager;director;principal;partner;intern;internship;campus;student",TRUE
Dean Dorton,unknown,https://deandorton.com/careers/,"Raleigh NC;Remote;North Carolina","accounting;tax;audit;associate","associate;staff;entry level;tax associate;audit associate;accounting associate","senior;manager;director;principal;partner;intern;internship;campus;student",TRUE
SECU,unknown,https://www.ncsecu.org/about-secu/careers.html,"Raleigh NC;Smithfield NC;Goldsboro NC;North Carolina","accounting;finance;analyst;banking","accounting;finance;analyst;associate;specialist","senior;manager;director;principal;executive;intern;internship;part time;teller",TRUE
Marsh McLennan,workday,https://www.marshmclennan.com/careers.html,"Raleigh NC;Remote;North Carolina","analyst;finance;accounting;operations","analyst;associate;accounting;finance;operations","senior;manager;director;principal;executive;intern;internship;sales",TRUE
Blue Cross NC,workday,https://www.bluecrossnc.com/about-us/careers,"Durham NC;Raleigh NC;Remote;North Carolina","accounting;finance;analyst;operations","analyst;associate;accounting;finance;operations","senior;manager;director;principal;executive;intern;internship;nurse;medical;clinical",TRUE
